,Lat,Lon,Base,Hour,Day,labels_kmeans,labels_dbscan,labels_agg
496875,40.7422,-73.9911,3,13,3,0,1,1
132916,40.6911,-73.9664,1,10,5,0,1,0
427486,40.7204,-74.0086,3,22,6,0,1,0
125450,40.7051,-74.0108,1,23,3,0,1,0
340953,40.7459,-74.0018,3,5,3,0,1,0
483072,40.7364,-73.9887,3,16,1,0,1,1
307553,40.6889,-73.9785,2,11,5,0,1,0
22035,40.7131,-74.0095,0,19,5,0,1,0
321344,40.7394,-73.9938,2,9,2,0,1,1
291655,40.6643,-73.9836,2,12,1,0,1,0
562885,40.727,-73.9858,4,18,5,0,1,0
436154,40.7495,-73.9797,3,15,1,1,1,1
346253,40.6508,-73.9525,3,18,3,0,1,0
136285,40.7876,-73.9748,1,22,5,1,1,1
113352,40.7891,-73.9785,1,6,2,1,1,1
416271,40.7727,-73.9596,3,8,5,1,1,1
62325,40.7292,-74.0011,1,0,6,0,1,0
11748,40.7407,-73.994,0,12,3,0,1,1
85253,40.7481,-74.0039,1,19,3,0,1,0
154839,40.7795,-73.9838,1,16,2,1,1,1
295670,40.7554,-73.9754,2,16,2,1,1,1
94694,40.7171,-74.0062,1,14,5,0,1,0
95186,40.7479,-73.9892,1,15,5,1,1,1
102559,40.6468,-73.7905,1,22,6,2,3,3
441980,40.7829,-73.9711,3,6,2,1,1,1
260957,40.7193,-73.9956,2,4,5,0,1,0
209182,40.7252,-73.9978,1,12,2,0,1,0
103787,40.7219,-73.8789,1,9,0,4,1,2
273984,40.7591,-73.9871,2,11,2,1,1,1
79763,40.7532,-73.9811,1,19,2,1,1,1
74430,40.718,-73.9999,1,18,1,0,1,0
238939,40.7436,-73.9237,2,23,5,1,1,2
206024,40.7606,-73.999,1,6,2,1,1,1
328309,40.7407,-74.0056,3,9,1,0,1,0
176334,40.7403,-74.0061,1,0,5,0,1,0
160440,40.7547,-73.9797,1,11,3,1,1,1
4102,40.7595,-73.9693,0,8,4,1,1,1
368702,40.7594,-73.9812,3,22,5,1,1,1
257753,40.7264,-74.0087,2,11,4,0,1,0
3706,40.7638,-73.9758,0,22,3,1,1,1
501459,40.7536,-73.9808,3,21,3,1,1,1
340777,40.785,-73.9488,3,3,3,1,1,1
464144,40.7628,-73.9892,3,0,5,1,1,1
107862,40.7715,-73.967,1,10,1,1,1,1
422226,40.7378,-74.0022,3,23,5,0,1,0
318436,40.7265,-73.9956,2,17,1,0,1,0
4442,40.7488,-74.0021,0,14,4,0,1,0
297236,40.7335,-73.9996,2,21,2,0,1,0
460149,40.7322,-74.0005,3,15,4,0,1,0
200438,40.7866,-73.9702,1,15,1,1,1,1
531827,40.7663,-73.9818,3,19,0,1,1,1
475780,40.7514,-74.0064,3,8,0,1,1,0
449629,40.7727,-73.9475,3,7,3,1,1,1
379737,40.75,-73.9919,3,16,0,1,1,1
434727,40.7552,-73.9751,3,10,1,1,1,1
320473,40.7767,-73.9811,2,6,2,1,1,1
136529,40.7691,-73.9811,1,23,5,1,1,1
283742,40.7685,-73.9553,2,23,4,1,1,1
421740,40.7263,-74.009,3,22,5,0,1,0
273456,40.7518,-74.0037,2,8,2,1,1,0
26241,40.7619,-73.9663,0,13,3,1,1,1
126972,40.7379,-73.9887,1,10,4,0,1,1
13233,40.7624,-73.9722,0,15,4,1,1,1
529199,40.7508,-73.9724,3,11,0,1,1,1
132641,40.7407,-74.0367,1,8,5,0,4,0
482848,40.7557,-73.9749,3,15,1,1,1,1
64698,40.7641,-73.9773,1,17,6,1,1,1
547617,40.7469,-73.9904,3,16,2,1,1,1
161556,40.7444,-73.9762,1,15,3,1,1,1
444981,40.7803,-73.981,3,16,2,1,1,1
295438,40.7557,-73.9838,2,15,2,1,1,1
43284,40.7894,-73.9756,1,21,2,1,1,1
32575,40.741,-73.9908,0,16,1,0,1,1
494096,40.744,-74.0083,3,1,3,0,1,0
306568,40.6964,-73.9096,2,0,5,0,1,0
258797,40.7117,-74.0157,2,16,4,0,1,0
501896,40.7601,-73.9777,3,21,3,1,1,1
460520,40.7053,-74.0077,3,16,4,0,1,0
117882,40.7635,-73.9635,1,21,2,1,1,1
364709,40.7153,-74.0105,3,15,5,0,1,0
321555,40.7525,-73.9944,2,10,2,1,1,1
443459,40.7171,-74.0122,3,11,2,0,1,0
480107,40.721,-73.9994,3,6,1,0,1,0
491052,40.745,-74.0073,3,17,2,0,1,0
195316,40.765,-73.9785,1,18,0,1,1,1
533165,40.7353,-73.8622,3,4,1,4,1,3
265274,40.6715,-73.9626,2,14,6,0,1,0
527580,40.7406,-73.9893,3,5,0,0,1,1
145889,40.7644,-73.9598,1,7,1,1,1,1
161799,40.7635,-73.9736,1,15,3,1,1,1
431666,40.6685,-73.9796,3,18,0,0,1,0
383735,40.6823,-73.8661,3,21,0,2,-1,3
78577,40.7422,-73.9748,1,16,2,1,1,1
344267,40.7526,-73.9753,3,15,3,1,1,1
144243,40.7361,-73.9917,1,19,0,0,1,1
297449,40.7531,-73.9751,2,22,2,1,1,1
95501,40.7456,-73.9858,1,16,5,1,1,1
298121,40.7657,-73.9707,2,7,3,1,1,1
430201,40.7721,-73.9652,3,14,0,1,1,1
248066,40.7741,-73.8726,2,17,1,4,1,2
387559,40.7607,-73.9862,3,14,1,1,1,1
300304,40.7216,-74.0064,2,17,3,0,1,0
451523,40.7869,-73.9564,3,14,3,1,1,1
83490,40.7321,-73.9924,1,15,3,0,1,0
155277,40.7255,-73.9966,1,17,2,0,1,0
484511,40.7451,-73.9863,3,18,1,1,1,1
386023,40.7198,-74.0109,3,8,1,0,1,0
308278,40.7243,-73.9877,2,16,5,0,1,0
153281,40.7695,-73.9622,1,12,2,1,1,1
226493,40.6645,-73.9853,2,8,3,0,1,0
226579,40.7505,-73.9691,2,9,3,1,1,1
87308,40.7363,-74.0078,1,6,4,0,1,0
352558,40.7553,-73.9772,3,11,4,1,1,1
130462,40.6834,-73.9752,1,20,4,0,1,0
499454,40.75,-73.9914,3,18,3,1,1,1
543541,40.733,-73.9541,3,9,2,1,1,0
316615,40.7383,-74.0059,2,7,1,0,1,0
134650,40.7269,-73.9573,1,17,5,0,1,0
124049,40.7414,-74.0014,1,20,3,0,1,1
39556,40.6688,-73.9271,1,6,2,0,1,0
105223,40.7125,-74.0092,1,16,0,0,1,0
411710,40.7826,-73.9731,3,17,4,1,1,1
478054,40.8199,-73.9554,3,17,0,1,1,2
252113,40.7542,-74.0005,2,20,2,1,1,1
436443,40.7567,-73.9764,3,15,1,1,1,1
332062,40.7521,-74.0029,3,20,1,1,1,0
57935,40.7262,-73.9841,1,13,5,0,1,0
269934,40.7097,-74.0072,2,11,1,0,1,0
71539,40.6761,-73.9612,1,6,1,0,1,0
351406,40.7808,-73.9788,3,8,4,1,1,1
301817,40.7646,-73.9818,2,22,3,1,1,1
335787,40.7624,-73.925,3,12,2,1,1,2
86416,40.7488,-73.9875,1,22,3,1,1,1
